Día,Temperatura Media (°C),Temperatura Máxima (°C),Temperatura Mínima (°C),Probabilidad de Precipitación (%),Humedad (%)
1,15.2,22.5,8.1,40,75
2,16.5,23.4,9.2,50,70
3,17.8,25.0,10.0,30,65
4,18.0,26.0,11.0,60,80
5,16.0,24.5,8.5,45,77
6,15.5,22.0,9.0,55,74
7,14.2,21.8,8.0,48,71
8,13.5,20.0,7.5,33,68
9,14.8,22.1,8.2,40,72
10,16.2,23.2,9.8,25,70
11,18.0,27.0,10.5,30,76
12,17.2,25.5,10.1,35,69
13,19.0,28.0,12.0,20,78
14,17.5,26.5,11.0,60,82
15,16.5,25.0,9.5,50,75
16,15.0,23.5,8.2,40,68
17,14.0,22.0,7.0,35,66
18,13.8,21.0,7.5,30,65
19,16.5,24.8,10.2,45,73
20,17.0,25.0,11.0,55,79
21,18.2,26.5,12.0,50,80
22,17.6,25.5,11.5,40,74
23,19.0,28.0,12.5,60,77
24,16.8,24.0,9.5,38,72
25,15.3,23.0,8.3,55,69
26,14.5,22.0,7.5,48,67
27,13.0,20.5,6.5,33,64
28,14.0,21.8,7.0,25,70
29,15.5,23.2,9.0,60,76
30,16.2,24.5,9.5,42,72
31,18.0,27.0,10.5,35,74
